id,sync_type,started_at,completed_at,records_processed,records_created,records_updated,records_failed,status,error_message,error_details,shopify_shop_domain,last_shopify_id,tenant_id
44,customers,2026-03-12 01:42:34.172818+00:00,2026-03-12 01:42:42.429617+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
45,orders,2026-03-12 01:42:45.352390+00:00,2026-03-12 01:42:53.743381+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
46,products,2026-03-12 01:54:23.905121+00:00,2026-03-12 01:54:32.190399+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
47,customers,2026-03-12 01:54:37.987416+00:00,2026-03-12 01:54:46.378345+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
48,products,2026-03-12 02:08:22.064907+00:00,2026-03-12 02:08:30.367815+00:00,0,0,0,0,failed,API request failed after 3 retries: 401 Client Error: Unauthorized for url: https://moioplatform.myshopify.com/admin/api/2024-01/products.json?limit=250 (401 Unauthorized: the access token may be invalid or expired. Re-run the Shopify install from the app to get a new token.),{},moioplatform.myshopify.com,,1
50,products,2026-03-12 02:32:40.254303+00:00,,0,0,0,0,running,,{},moioplatform.myshopify.com,,1
49,products,2026-03-12 02:32:22.343015+00:00,2026-03-12 02:32:40.359893+00:00,0,0,0,0,failed,ShopifySyncLog.mark_completed() got an unexpected keyword argument 'processed',{},moioplatform.myshopify.com,,1
51,customers,2026-03-12 02:44:42.421374+00:00,2026-03-12 02:44:50.915614+00:00,0,0,0,0,failed,"API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (403 Forbidden: the access token may lack required scopes. Re-run the Shopify install from the app so a new token is issued with read_products, read_customers, read_orders, read_inventory.)",{},moioplatform.myshopify.com,,1
52,products,2026-03-12 02:44:59.244647+00:00,2026-03-12 02:45:12.344433+00:00,0,0,0,0,failed,ShopifySyncLog.mark_completed() got an unexpected keyword argument 'processed',{},moioplatform.myshopify.com,,1
53,orders,2026-03-12 02:45:18.295759+00:00,2026-03-12 02:45:26.747759+00:00,0,0,0,0,failed,"API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (403 Forbidden: the access token may lack required scopes. Re-run the Shopify install from the app so a new token is issued with read_products, read_customers, read_orders, read_inventory.)",{},moioplatform.myshopify.com,,1
54,products,2026-03-12 03:06:18.000983+00:00,2026-03-12 03:06:27.040684+00:00,0,0,0,0,failed,ShopifySyncLog.mark_completed() got an unexpected keyword argument 'processed',{},moioplatform.myshopify.com,,1
55,customers,2026-03-12 03:06:32.885910+00:00,2026-03-12 03:06:41.438577+00:00,0,0,0,0,failed,"API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/customers.json?limit=250 (403 Forbidden: the access token may lack required scopes. Re-run the Shopify install from the app so a new token is issued with read_products, read_customers, read_orders, read_inventory.)",{},moioplatform.myshopify.com,,1
56,orders,2026-03-12 03:06:43.628379+00:00,2026-03-12 03:06:51.986534+00:00,0,0,0,0,failed,"API request failed after 3 retries: 403 Client Error: Forbidden for url: https://moioplatform.myshopify.com/admin/api/2024-01/orders.json?limit=250 (403 Forbidden: the access token may lack required scopes. Re-run the Shopify install from the app so a new token is issued with read_products, read_customers, read_orders, read_inventory.)",{},moioplatform.myshopify.com,,1
57,products,2026-03-12 12:49:23.301727+00:00,2026-03-12 12:49:34.515688+00:00,0,0,0,0,failed,ShopifySyncLog.mark_completed() got an unexpected keyword argument 'processed',{},moioplatform.myshopify.com,,1
58,customers,2026-03-12 12:49:34.560578+00:00,,0,0,0,0,running,,{},moioplatform.myshopify.com,,1
59,products,2026-03-12 13:01:18.626736+00:00,,0,0,0,0,running,,{},moioplatform.myshopify.com,,1
60,products,2026-03-12 13:35:35.017628+00:00,,0,0,0,0,running,,{},moioplatform.myshopify.com,,1
61,products,2026-03-12 13:36:34.319564+00:00,,0,0,0,0,running,,{},moioplatform.myshopify.com,,1
