session,id,start,end,last_interaction,started_by,context,final_summary,channel,active,busy,multi_message,experience,human_mode,thread_id,assistant_id,agent_id,csat,current_agent,agent_input_thread,contact_id,tenant_id
53eca24c-71e5-4106-b9d3-4377fd85570b,53eca24c-71e5-4106-b9d3-4377fd85570b,2026-03-12 22:38:03.818352+00:00,2026-03-12 22:43:04.074238+00:00,2026-03-12 22:38:03.840432+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
8f91e951-b338-4018-a7d9-0ef07df423ef,8f91e951-b338-4018-a7d9-0ef07df423ef,2026-03-12 22:48:15.714641+00:00,2026-03-12 22:53:15.903903+00:00,2026-03-12 22:48:15.763683+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
0159749d-6e85-4aa4-9183-1c7e4b3ba0ea,0159749d-6e85-4aa4-9183-1c7e4b3ba0ea,2026-03-12 22:43:13.783661+00:00,2026-03-12 22:48:13.933789+00:00,2026-03-12 22:43:13.832209+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
be271fdc-304c-4cfc-84ac-010988cbe0fd,be271fdc-304c-4cfc-84ac-010988cbe0fd,2026-03-12 21:04:01.475984+00:00,2026-03-12 22:58:10.812541+00:00,2026-03-12 22:08:03.186302+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,f9e15981-4a53-47d6-a1bc-1ef5096003cb,1
f45de3c9-c902-4115-b5a2-636aa33d4277,f45de3c9-c902-4115-b5a2-636aa33d4277,2026-03-12 22:53:11.764035+00:00,2026-03-12 22:58:11.927891+00:00,2026-03-12 22:53:11.806516+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
53e3bf0b-947f-48cf-b46d-d92dbf0917b7,53e3bf0b-947f-48cf-b46d-d92dbf0917b7,2026-03-12 22:53:17.762682+00:00,2026-03-12 22:58:17.962773+00:00,2026-03-12 22:53:17.815735+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
5dc35b8b-0447-4ea6-9634-5e7ee1cd2666,5dc35b8b-0447-4ea6-9634-5e7ee1cd2666,2026-03-12 23:02:14.182696+00:00,2026-03-12 23:02:19.831380+00:00,2026-03-12 23:02:14.188599+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,6fcfe53c-1de8-48f1-b812-4035b1fd6016,1
00b4e261-d8af-4e48-941f-cb6e62c94b2c,00b4e261-d8af-4e48-941f-cb6e62c94b2c,2026-03-12 22:58:12.819537+00:00,2026-03-12 23:03:12.947985+00:00,2026-03-12 22:58:12.829340+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,f9e15981-4a53-47d6-a1bc-1ef5096003cb,1
e48431c6-4a6b-4d40-b33c-0b2063f99c83,e48431c6-4a6b-4d40-b33c-0b2063f99c83,2026-03-12 23:03:14.458777+00:00,2026-03-12 23:08:14.601659+00:00,2026-03-12 23:03:14.485962+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,f9e15981-4a53-47d6-a1bc-1ef5096003cb,1
beffe349-0c3a-497a-b175-d9c7d37ba9af,beffe349-0c3a-497a-b175-d9c7d37ba9af,2026-03-12 22:58:13.721560+00:00,2026-03-12 23:06:36.462733+00:00,2026-03-12 23:01:36.361251+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
1d20c82a-b4d4-48fc-bfb4-379e9e147beb,1d20c82a-b4d4-48fc-bfb4-379e9e147beb,2026-03-12 23:06:38.770328+00:00,2026-03-12 23:11:38.978033+00:00,2026-03-12 23:06:38.794889+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
b0785722-864c-4ede-8f61-ac28dab719bf,b0785722-864c-4ede-8f61-ac28dab719bf,2026-03-12 22:48:07.911678+00:00,2026-03-13 00:08:30.816959+00:00,2026-03-12 22:48:07.979673+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,544eeef0-9687-4094-830d-ed15fbaa5063,1
467b03ad-13bf-4fc9-89e7-e69508232b98,467b03ad-13bf-4fc9-89e7-e69508232b98,2026-03-12 22:58:19.738096+00:00,2026-03-12 23:03:19.919894+00:00,2026-03-12 22:58:19.790654+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
